"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","5","1","0","1","1","0","0","1","0","0","0.2","1","2","1.2","4","6.3","6.8","8.4","10.2","13","12.7","21.5","29.3","43.2","35","26.5","","","",
"Angola","AGO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","1","2","3","3","2","2.9","1","2.6","0.8","3.4","6.1","8.8","15.5","2.4","7.2","8.9","13.6","10.9","10.7","14","15.7","17.8","21.8","22.6","","","",
"Albania","ALB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","2","11","6","15","8","12","17","15.1","18.6","10.4","14.5","15.9","22.8","19.1","28.4","21.4","21.9","24.5","31.8","40.5","51.5","77","136.7","160.9","186.5","183.6","","","",
"Andorra","AND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.2","1","2.6","1.5","4.1","1.3","5.2","5","6.2","0.7","3.4","1.2","1","3.9","5.9","","","",
"Arab World","ARB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","2698.85755719384","2702.899275737","3009.17395058677","3265.83284361869","3247.65566638148","3225.43911642489","3108.26062049464","3123.41301220976","3393.83402935956","3527.536614047","3488.93376252822","3614.7018623704","3741.2918385797","3881.10906400256","7944.32884670342","8709.76053090116","9074.17561546041","10149.9371590289","11516.1883181455","12553.1502969641","14389.7600704237","16110.5629221481","18404","22131.7","24863.8","29042.9","32902.1","36106.1","","","",
"United Arab Emirates","ARE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","13","20","23","30","33","57","77","109","98","120.2","143.1","151.6","155.5","129.9","293.8","363.2","350.6","484.3","520.2","673.2","779.1","735.6","878","995.2","1173.8","1397.3","1588.3","1679.1","","","",
"Argentina","ARG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","892","","","","1190","1459","1475","1423","1518","1627","1499","1526","1585","1747","1967.2","2287.2","2450.8","2550.7","2635.8","4244.1","4358.4","4618.3","4484.7","4641.3","4882","5334.5","5666.5","6276.5","7013.5","7420","7859.7","8073.1","8053.1","","","",
"Armenia","ARM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","21","165","178","166","197.9","172.3","165.9","163.9","313.6","283.2","292.3","290","328.9","375.2","358.4","391.2","387.6","432.3","488.8","612.6","558.7","558.5","","","",
"American Samoa","ASM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
